Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6201304,WHS4_544,COUNTRY,STP,YEAR,AFR,Africa,,2009,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6202099,WHS4_544,COUNTRY,KGZ,YEAR,EUR,Europe,,2002,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6202862,WHS4_544,COUNTRY,PER,YEAR,AMR,Americas,,2023,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6208850,WHS4_544,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2015,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6213419,WHS4_544,COUNTRY,UGA,YEAR,AFR,Africa,,2019,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6214009,WHS4_544,COUNTRY,SUR,YEAR,AMR,Americas,,2006,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6220383,WHS4_544,COUNTRY,BFA,YEAR,AFR,Africa,,2016,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6221690,WHS4_544,COUNTRY,TON,YEAR,WPR,Western Pacific,,2007,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6228275,WHS4_544,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,2014,,,,,,,,69,69.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6234475,WHS4_544,COUNTRY,LSO,YEAR,AFR,Africa,,2011,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6240253,WHS4_544,COUNTRY,IRL,YEAR,EUR,Europe,,2017,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6245695,WHS4_544,COUNTRY,JAM,YEAR,AMR,Americas,,2015,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6247124,WHS4_544,COUNTRY,BWA,YEAR,AFR,Africa,,2012,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6250991,WHS4_544,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2006,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6252220,WHS4_544,COUNTRY,KEN,YEAR,AFR,Africa,,2011,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6253361,WHS4_544,COUNTRY,ARG,YEAR,AMR,Americas,,2010,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6259047,WHS4_544,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2017,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6259177,WHS4_544,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,,2003,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6264590,WHS4_544,COUNTRY,MNE,YEAR,EUR,Europe,,2014,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6283187,WHS4_544,COUNTRY,UKR,YEAR,EUR,Europe,,2001,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6285150,WHS4_544,COUNTRY,HRV,YEAR,EUR,Europe,,2014,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6290386,WHS4_544,REGION,SEAR,YEAR,,,,2013,,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6292002,WHS4_544,COUNTRY,DEU,YEAR,EUR,Europe,,2006,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6298572,WHS4_544,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6301851,WHS4_544,COUNTRY,TCD,YEAR,AFR,Africa,,2012,,,,,,,,51,51.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6302458,WHS4_544,COUNTRY,BEL,YEAR,EUR,Europe,,2022,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6304220,WHS4_544,COUNTRY,MOZ,YEAR,AFR,Africa,,2007,,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6308466,WHS4_544,COUNTRY,TZA,YEAR,AFR,Africa,,2017,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6310525,WHS4_544,REGION,EMR,YEAR,,,,2013,,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6311019,WHS4_544,COUNTRY,USA,YEAR,AMR,Americas,,2005,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6354806,WHS4_544,COUNTRY,SVK,YEAR,EUR,Europe,,2015,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6356205,WHS4_544,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,2024,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
6366201,WHS4_544,COUNTRY,AZE,YEAR,EUR,Europe,,2006,,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
