iso3,year,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct
PYF,2000,4.51512129821948,97.7746162663413,100.0,99.0,2.588,100.0,4.69809149754936,2.596,87.34,3.24541101308193,,,,,,6.3570635452072,79.0,,,,1.697,,240337.0,4.2165792200119,69.241428983002,,11.583,55.954253994428
PYF,2001,,97.763585986455,100.0,,2.581,100.0,,2.523,86.84,-0.341595578089056,,,,,,6.25158894552365,79.316,,,,,,244097.0,4.36854125912801,70.3246902909824,,11.665,55.8931875849702
PYF,2002,,97.7525557065687,100.0,,2.594,100.0,,2.425,92.88,0.846181482808589,,,,,,8.20021648571522,79.544,,,,,,247775.0,4.52788915772544,71.3843272832037,,11.71,55.8631794440685
PYF,2003,,97.7415254266824,100.0,,2.618,100.0,,2.26,92.64,2.1269288487261,,,,,,14.1242937853107,79.71,,,,,,251637.0,4.71055528400037,72.4969749351772,,11.751,55.9283550220738
PYF,2004,,97.7304951467961,100.0,,2.678,100.0,,2.198,93.48,0.971259129987544,,,,,,17.8845374263753,79.829,,,,,,255654.0,4.9072183498009,73.6542783059637,,11.702,56.2729949941787
PYF,2005,3.05963576025818,97.7194648669098,100.0,,2.743,100.0,20.4602519635541,2.181,101.15,0.309973476180005,,,,,,21.5421854743002,79.951,,,,,,259507.0,5.12280039228304,74.7643330452319,,11.722,56.8472850820701
PYF,2006,2.94803658150196,97.7084345870236,100.0,,2.806,100.0,20.2542589811382,2.217,99.13,0.889584117597607,,,,,,25.1079642462589,80.1,,,,,,263223.0,5.35040630947903,75.8349178910977,,11.768,57.5825834325129
PYF,2007,2.55076680608596,97.6974043071373,100.0,,2.844,100.0,20.3798093159795,2.122,101.33,1.70497563803002,,,,,,28.59,80.328,,,,,,266438.0,5.57015140482964,76.7611639297033,,11.74,58.4102481922721
PYF,2008,2.26578407008733,97.686374027251,100.0,,2.892,100.0,18.9325946508845,2.195,99.47,0.0067675506631275,,,,,,33.87,80.587,,,,,,268379.0,5.78864218139273,77.320368769807,,11.76,59.2616375081129
PYF,2009,2.30302105096859,97.6753437473647,100.0,,2.92,100.0,16.712434787085,2.148,95.31,-4.23139183069446,,,,,,44.6,80.867,,,,,,269481.0,6.00486489796145,77.637856525497,,11.963,60.0681095268001
