Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6304444,UHC_INDEX_REPORTED,COUNTRY,TKM,YEAR,EUR,Europe,,,2000,,,,,,,76,76.0,,,,2025-12-05T11:39:13.277+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6305147,UHC_INDEX_REPORTED,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,,2016,,,,,,,44,44.0,,,,2025-12-05T11:39:13.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6305851,UHC_INDEX_REPORTED,COUNTRY,TGO,YEAR,AFR,Africa,,,2016,,,,,,,36,36.0,,,,2025-12-05T11:39:13.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6317239,UHC_INDEX_REPORTED,COUNTRY,PRT,YEAR,EUR,Europe,,,2020,,,,,,,83,83.0,,,,2025-12-05T11:39:13.277+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6321732,UHC_INDEX_REPORTED,COUNTRY,ITA,YEAR,EUR,Europe,,,2018,,,,,,,83,83.0,,,,2025-12-05T11:39:13.277+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6322185,UHC_INDEX_REPORTED,COUNTRY,GUY,YEAR,AMR,Americas,,,2023,,,,,,,73,73.0,,,,2025-12-05T11:39:13.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6322964,UHC_INDEX_REPORTED,COUNTRY,TUR,YEAR,EUR,Europe,,,2009,,,,,,,70,70.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6328655,UHC_INDEX_REPORTED,COUNTRY,HUN,YEAR,EUR,Europe,,,2009,,,,,,,76,76.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6330326,UHC_INDEX_REPORTED,COUNTRY,BGR,YEAR,EUR,Europe,,,2019,,,,,,,72,72.0,,,,2025-12-05T11:39:13.277+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6332203,UHC_INDEX_REPORTED,COUNTRY,CZE,YEAR,EUR,Europe,,,2014,,,,,,,83,83.0,,,,2025-12-05T11:39:13.277+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6333774,UHC_INDEX_REPORTED,COUNTRY,SUR,YEAR,AMR,Americas,,,2000,,,,,,,59,59.0,,,,2025-12-05T11:39:13.277+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6333861,UHC_INDEX_REPORTED,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,,2011,,,,,,,58,58.0,,,,2025-12-05T11:39:13.277+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6336946,UHC_INDEX_REPORTED,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,,2021,,,,,,,47,47.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6341165,UHC_INDEX_REPORTED,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,,2015,,,,,,,49,49.0,,,,2025-12-05T11:39:13.277+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6341228,UHC_INDEX_REPORTED,COUNTRY,VEN,YEAR,AMR,Americas,,,2007,,,,,,,67,67.0,,,,2025-12-05T11:39:13.277+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6342689,UHC_INDEX_REPORTED,COUNTRY,NER,YEAR,AFR,Africa,,,2017,,,,,,,35,35.0,,,,2025-12-05T11:39:13.277+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6344414,UHC_INDEX_REPORTED,COUNTRY,SVK,YEAR,EUR,Europe,,,2003,,,,,,,76,76.0,,,,2025-12-05T11:39:13.277+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6346239,UHC_INDEX_REPORTED,WORLDBANKREGION,WB_SSA,YEAR,,,,,2004,,,,,,,28,28.0,,,,2025-12-05T11:39:13.277+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6350199,UHC_INDEX_REPORTED,COUNTRY,COL,YEAR,AMR,Americas,,,2017,,,,,,,82,82.0,,,,2025-12-05T11:39:13.277+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6350573,UHC_INDEX_REPORTED,COUNTRY,URY,YEAR,AMR,Americas,,,2005,,,,,,,77,77.0,,,,2025-12-05T11:39:13.277+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6351381,UHC_INDEX_REPORTED,COUNTRY,COK,YEAR,WPR,Western Pacific,,,2014,,,,,,,75,75.0,,,,2025-12-05T11:39:13.277+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6352701,UHC_INDEX_REPORTED,COUNTRY,FIN,YEAR,EUR,Europe,,,2006,,,,,,,80,80.0,,,,2025-12-05T11:39:13.277+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6353726,UHC_INDEX_REPORTED,GLOBAL,GLOBAL,YEAR,,,,,2013,,,,,,,66,66.0,,,,2025-12-05T11:39:13.277+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6354411,UHC_INDEX_REPORTED,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,2008,,,,,,,77,77.0,,,,2025-12-05T11:39:13.277+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6359393,UHC_INDEX_REPORTED,COUNTRY,DZA,YEAR,AFR,Africa,,,2022,,,,,,,70,70.0,,,,2025-12-05T11:39:13.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6363625,UHC_INDEX_REPORTED,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,2012,,,,,,,81,81.0,,,,2025-12-05T11:39:13.277+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6363649,UHC_INDEX_REPORTED,WORLDBANKREGION,WB_EAP,YEAR,,,,,2011,,,,,,,72,72.0,,,,2025-12-05T11:39:13.277+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6364543,UHC_INDEX_REPORTED,COUNTRY,BOL,YEAR,AMR,Americas,,,2022,,,,,,,68,68.0,,,,2025-12-05T11:39:13.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6365146,UHC_INDEX_REPORTED,COUNTRY,ETH,YEAR,AFR,Africa,,,2009,,,,,,,19,19.0,,,,2025-12-05T11:39:13.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6366598,UHC_INDEX_REPORTED,COUNTRY,NRU,YEAR,WPR,Western Pacific,,,2021,,,,,,,61,61.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6366738,UHC_INDEX_REPORTED,REGION,AMR,YEAR,,,,,2022,,,,,,,83,83.0,,,,2025-12-05T11:39:13.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6366880,UHC_INDEX_REPORTED,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,,,2000,,,,,,,66,66.0,,,,2025-12-05T11:39:13.277+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
